Data_Point,H_form_pareto_k,B_form_pareto_k
386,-0.10904846773528812,-0.14518310654859046
387,-0.10858853250841916,-0.14728516082007387
388,-0.1040766059561661,-0.1388334013017104
389,-0.09789449278861374,-0.14186283424721147
390,-0.09174572119373077,-0.13523504955441762
391,-0.09816789736690344,-0.1382250166482444
392,-0.09888151248442556,-0.13971597496270172
393,-0.09791915436694337,-0.13988663420838576
394,-0.0929925773399171,-0.13744998313288034
395,-0.09420014540632536,-0.13422737637775317
396,-0.09175110345852011,-0.13702628319054322
397,-0.09948349871588757,-0.14043819465171548
398,-0.09888454707539654,-0.14195148384839945
399,-0.09733652567069334,-0.1374918087293127
400,-0.09477228349934352,-0.1333767261146411
401,-0.09131189319985275,-0.13704453436332933
402,-0.0972138007840426,-0.1399458515616788
403,-0.09883997847725214,-0.13918967674071056
404,-0.09783937942960892,-0.14159914318625316
405,-0.09749470281941967,-0.13872893669059944
406,-0.09080272331036396,-0.13822486172704154
407,-0.09621143582450933,-0.13609511085129306
408,-0.10212662739555704,-0.1336951363812474
409,-0.10822037513238737,-0.13861076009107573
410,-0.10897641682875357,-0.13970848777216316
411,-0.1086910141585256,-0.14059765250293324
412,-0.1068000840985798,-0.14012015277970236
413,-0.03797055847642233,0.0002167501149733424
414,-0.0764319652140053,-0.00310646468082062
415,-0.09722992356570095,-0.023735634007218072
416,-0.12900631229540846,-0.075705003478678
417,-0.1376468018889637,-0.13483473510668706
418,-0.09350721209342475,-0.15555386053800946
419,-0.09465644823398772,-0.10648442083189524
420,-0.0974742161418163,-0.13162068390505782
421,-0.06197315459267915,-0.11623252727439909
422,-0.04583497759526588,-0.07170226115661602
423,-0.08409623108118579,-0.07224994367624164
424,-0.1146347006173177,-0.0882605261862037
425,-0.03190024079997288,-0.0752863247317185
426,-0.043928230829266834,-0.04490402985397174
427,-0.049735485524073274,-0.06447635566806127
428,-0.11117216929091692,-0.039631739617842006
429,-0.12710311166610214,-0.04340963559243325
430,-0.14153833049621076,-0.046886324389963145
431,-0.09441188245761423,-0.14228991424464316
432,-0.0933150063108102,-0.14020531122134552
433,-0.09305758094667296,-0.1396807964223513
434,-0.0933975571923273,-0.13723773976465165
435,-0.09512970174583044,-0.13502839292511945
436,-0.09559319637287356,-0.1342204204542646
437,-0.0942974362400348,-0.1350324071004714
438,-0.09180082873893235,-0.13522435147383585
439,-0.0934046407963353,-0.1382233972789773
440,-0.09856359196116356,-0.1394362078199886
441,-0.09852882503382883,-0.14089172491816193
442,-0.09842784852942098,-0.14071454283749907
443,-0.09796855236443312,-0.13922686254923103
444,-0.09182617317093128,-0.1362630236141142
445,-0.09237271228085754,-0.13575018084021823
446,-0.1014585222247219,-0.14115370846136888
447,-0.10411930669269724,-0.1414390506886077
448,-0.10749041162177045,-0.1447379492147719
449,-0.10990032004885486,-0.14519604064916458
450,-0.10868893816593435,-0.14733435263229905
451,-0.10821425022096975,-0.14882926093395937
452,-0.10882143855406434,-0.14632033674612063
453,-0.10925181918806885,-0.1470428788901451
454,-0.10792042568498367,-0.1451358509564343
455,-0.11029201812830126,-0.14324383909700059
456,-0.11034284978966262,-0.14454627117302052
457,-0.10803100980924805,-0.14349779459176026
458,-0.10811113633729653,-0.1432517870374668
459,-0.1078528684592384,-0.1443265555388885
460,-0.10919254037218015,-0.1460507813173455
461,-0.11616960119513775,-0.14817595006793774
462,-0.11770597243889115,-0.14970977622107068
463,-0.11790831799367227,-0.14771601939094564
464,-0.11663974343376687,-0.14240316209513454
465,-0.09866324480591807,0.03283138363647927
466,-0.10411068936171504,0.005636450074626239
467,-0.09921998115241493,-0.04771846249863283
468,-0.0691195957838473,-0.06292262382045909
469,-0.05716037812458972,-0.06577337741820362
470,-0.046720927191207365,-0.0793098852269716
471,-0.06362814773812564,-0.09184851208635496
472,-0.025838428080297914,-0.0886684684631163
473,0.0012071010465142089,-0.068106942085254
474,-0.00945135769001353,-0.05818907934372845
475,-0.07767706477944318,-0.07103287165447295
476,-0.08797086446880502,-0.06816326446164934
477,-0.012238219636234835,-0.04830522716894031
478,-0.01640263877596148,-0.029360440259208823
479,-0.04892312768843086,-0.046948136743714904
480,-0.10099166996041464,-0.028671461888779184
481,-0.1481738984121699,-0.0767497050753335
482,-0.1606223419091943,0.05085204204399806
483,-0.10082038981588833,-0.14572503841455636
484,-0.10128729923953712,-0.1445960681218247
485,-0.10188330715543192,-0.1445020676547219
486,-0.09983443578446,-0.14489181796615988
487,-0.10123978511600351,-0.14601475942492015
488,-0.10489634750446235,-0.14427937464015883
489,-0.10281620021927168,-0.14248808708149793
490,-0.10134695140243516,-0.1420192481227779
491,-0.10124304014515029,-0.1414586382829353
492,-0.10213821212414505,-0.1409638969465738
493,-0.10325262988460542,-0.14126164916990397
494,-0.10368824767293258,-0.14124553282773916
495,-0.10257685950584561,-0.1418779444482863
496,-0.09902729776192272,-0.14059340743638263
497,-0.09375946330559634,-0.13781848326176527
498,-0.09274593181921245,-0.13486902527298075
499,-0.09247545955895084,-0.13784927619406462
500,-0.10237867070102342,-0.14132040100505172
501,-0.10051289374164127,-0.14082780130366362
502,-0.10446085538435283,-0.14288691482022903
503,-0.10490940141509127,-0.14059611420346618
504,-0.10462123196163901,-0.1431468781679179
505,-0.10444670760632138,-0.14193493842604418
506,-0.10312369289560623,-0.1391254232649112
507,-0.10049626722831234,-0.14022014670819238
508,-0.10220772613183696,-0.13671054276975722
509,-0.10215281659417284,-0.13487405235055483
510,-0.09933298354176913,-0.13231894207123313
511,-0.09679094600838808,-0.13510850131046886
512,-0.09583539722698384,-0.1369126849263591
513,-0.09235909527882091,-0.13968970584646712
514,-0.09748379162550166,-0.14438663918731584
515,-0.09472345656011236,-0.14465853959907732
516,-0.09894831323279205,-0.13905539361471264
517,-0.09929973979490786,-0.14390858341969345
518,-0.09503413559992475,-0.14168323865194454
519,-0.09875253730889967,-0.14194395265472287
520,-0.09147117789718633,-0.14600270235717816
521,-0.091102904101196,-0.14435154803600486
522,-0.09702709307137679,-0.1403421040400811
523,-0.09682145741329734,-0.14066406897388728
524,-0.09671045101921281,-0.1392481213545118
525,-0.09678900192286988,-0.1395175110242124
526,-0.09715217041256624,-0.14023429768116574
527,-0.0978816490586095,-0.1407050251087757
528,-0.09616289058108042,-0.14143867909579175
529,-0.09734292928665406,-0.1405810377889269
530,-0.09426659361953656,-0.14054064534151556
531,-0.09493984973443065,-0.13229635773961235
532,-0.07080861704857597,-0.12272738238011652
533,-0.013083648862832383,-0.08966078198203224
534,0.012520777859669197,-0.07685163457824165
535,0.07753680099928108,-0.007010987749749809
536,0.16140422061581072,0.10596191402660028
537,0.34303895106154697,0.2619425854186031
538,0.3948724215741968,0.3798902672996303
539,0.4086421007505427,0.6115373393430331
540,0.0885897398648033,0.17515267415576521
